,Account,Compound,Negative,Neutral,NotZero,Positive
0,BBC,0.4404,0.0,0.847,True,0.153
1,BBC,0.6115,0.0,0.84,True,0.16
2,BBC,-0.4019,0.172,0.828,True,0.0
3,BBC,0.3327,0.0,0.809,True,0.191
4,BBC,0.5574,0.108,0.613,True,0.278
5,BBC,-0.3818,0.174,0.737,True,0.089
6,BBC,-0.296,0.095,0.905,True,0.0
7,BBC,0.34,0.0,0.882,True,0.118
8,BBC,0.5214,0.0,0.806,True,0.194
9,BBC,0.1901,0.0,0.821,True,0.179
10,BBC,0.0,0.0,1.0,False,0.0
11,BBC,-0.4767,0.134,0.866,True,0.0
12,BBC,-0.1779,0.132,0.766,True,0.102
13,BBC,0.0,0.0,1.0,False,0.0
14,BBC,0.5411,0.0,0.868,True,0.132
15,BBC,0.0,0.0,1.0,False,0.0
16,BBC,0.0,0.0,1.0,False,0.0
17,BBC,0.0,0.0,1.0,False,0.0
18,BBC,0.0,0.0,1.0,False,0.0
19,BBC,-0.6808,0.248,0.752,True,0.0
20,BBC,0.4404,0.0,0.847,True,0.153
21,BBC,0.6115,0.0,0.84,True,0.16
22,BBC,-0.4019,0.172,0.828,True,0.0
23,BBC,0.3327,0.0,0.809,True,0.191
24,BBC,0.5574,0.108,0.613,True,0.278
25,BBC,-0.3818,0.174,0.737,True,0.089
26,BBC,-0.296,0.095,0.905,True,0.0
27,BBC,0.34,0.0,0.882,True,0.118
28,BBC,0.5214,0.0,0.806,True,0.194
29,BBC,0.1901,0.0,0.821,True,0.179
30,BBC,0.0,0.0,1.0,False,0.0
31,BBC,-0.4767,0.134,0.866,True,0.0
32,BBC,-0.1779,0.132,0.766,True,0.102
33,BBC,0.0,0.0,1.0,False,0.0
34,BBC,0.5411,0.0,0.868,True,0.132
35,BBC,0.0,0.0,1.0,False,0.0
36,BBC,0.0,0.0,1.0,False,0.0
37,BBC,0.0,0.0,1.0,False,0.0
38,BBC,0.0,0.0,1.0,False,0.0
39,BBC,-0.6808,0.248,0.752,True,0.0
40,BBC,0.0,0.0,1.0,False,0.0
41,BBC,0.0,0.0,1.0,False,0.0
42,BBC,-0.7964,0.351,0.649,True,0.0
43,BBC,0.0,0.0,1.0,False,0.0
44,BBC,0.0,0.0,1.0,False,0.0
45,BBC,0.8402,0.0,0.655,True,0.345
46,BBC,0.4019,0.0,0.876,True,0.124
47,BBC,0.0,0.0,1.0,False,0.0
48,BBC,0.7783,0.0,0.726,True,0.274
49,BBC,0.6779,0.0,0.618,True,0.382
50,BBC,0.561,0.0,0.826,True,0.174
51,BBC,0.6696,0.0,0.781,True,0.219
52,BBC,-0.802,0.231,0.769,True,0.0
53,BBC,0.3612,0.0,0.865,True,0.135
54,BBC,0.8176,0.052,0.598,True,0.351
55,BBC,0.3612,0.0,0.828,True,0.172
56,BBC,0.8625,0.0,0.719,True,0.281
57,BBC,0.0,0.0,1.0,False,0.0
58,BBC,0.0,0.0,1.0,False,0.0
59,BBC,0.0,0.0,1.0,False,0.0
60,BBC,0.5719,0.0,0.748,True,0.252
61,BBC,0.0,0.0,1.0,False,0.0
62,BBC,0.0,0.0,1.0,False,0.0
63,BBC,-0.5574,0.13,0.87,True,0.0
64,BBC,0.3612,0.116,0.683,True,0.201
65,BBC,-0.5574,0.217,0.783,True,0.0
66,BBC,0.0,0.0,1.0,False,0.0
67,BBC,0.0,0.0,1.0,False,0.0
68,BBC,0.0,0.0,1.0,False,0.0
69,BBC,0.6696,0.0,0.71,True,0.29
70,BBC,-0.296,0.087,0.913,True,0.0
71,BBC,0.3182,0.0,0.897,True,0.103
72,BBC,-0.5255,0.188,0.72,True,0.092
73,BBC,0.6808,0.054,0.702,True,0.244
74,BBC,0.4215,0.0,0.865,True,0.135
75,BBC,0.0258,0.086,0.824,True,0.09
76,BBC,0.0,0.0,1.0,False,0.0
77,BBC,0.25,0.0,0.9,True,0.1
78,BBC,-0.431,0.192,0.808,True,0.0
79,BBC,-0.4588,0.12,0.88,True,0.0
80,BBC,0.0,0.0,1.0,False,0.0
81,BBC,0.6304,0.081,0.718,True,0.2
82,BBC,-0.0772,0.129,0.76,True,0.111
83,BBC,0.5515,0.0,0.771,True,0.229
84,BBC,-0.7003,0.303,0.599,True,0.099
85,BBC,0.2263,0.0,0.84,True,0.16
86,BBC,0.2263,0.0,0.881,True,0.119
87,BBC,0.5859,0.0,0.84,True,0.16
88,BBC,0.0,0.0,1.0,False,0.0
89,BBC,0.9022,0.0,0.643,True,0.357
90,BBC,0.8429,0.0,0.702,True,0.298
91,BBC,0.0,0.0,1.0,False,0.0
92,BBC,-0.3612,0.116,0.884,True,0.0
93,BBC,-0.34,0.194,0.806,True,0.0
94,BBC,0.25,0.0,0.9,True,0.1
95,BBC,0.0,0.0,1.0,False,0.0
96,BBC,0.0,0.0,1.0,False,0.0
97,BBC,0.0,0.0,1.0,False,0.0
98,BBC,-0.34,0.112,0.888,True,0.0
99,BBC,0.0,0.0,1.0,False,0.0
100,BBC,0.0,0.0,1.0,False,0.0
101,BBC,-0.6542,0.225,0.709,True,0.066
102,BBC,0.7579,0.071,0.647,True,0.282
103,BBC,-0.5255,0.159,0.841,True,0.0
104,BBC,0.2433,0.119,0.696,True,0.185
105,BBC,-0.1531,0.264,0.545,True,0.191
106,BBC,0.2732,0.133,0.687,True,0.18
107,BBC,0.0516,0.174,0.64,True,0.186
108,BBC,0.6068,0.0,0.763,True,0.237
109,BBC,0.6908,0.0,0.678,True,0.322
110,BBC,0.3612,0.0,0.848,True,0.152
111,BBC,0.861,0.0,0.57,True,0.43
112,BBC,0.765,0.048,0.662,True,0.29
113,BBC,0.296,0.097,0.767,True,0.137
114,BBC,0.4939,0.0,0.868,True,0.132
115,BBC,-0.7481,0.285,0.715,True,0.0
116,BBC,0.0,0.0,1.0,False,0.0
117,BBC,0.0,0.0,1.0,False,0.0
118,BBC,0.0,0.0,1.0,False,0.0
119,BBC,-0.5994,0.163,0.837,True,0.0
120,BBC,0.2263,0.213,0.435,True,0.353
121,BBC,0.3818,0.0,0.794,True,0.206
122,BBC,0.0,0.0,1.0,False,0.0
123,BBC,0.0,0.0,1.0,False,0.0
124,BBC,0.0,0.0,1.0,False,0.0
125,BBC,0.0,0.0,1.0,False,0.0
126,BBC,-0.0772,0.284,0.459,True,0.257
127,BBC,-0.5267,0.145,0.855,True,0.0
128,BBC,0.0,0.0,1.0,False,0.0
129,BBC,-0.2755,0.095,0.905,True,0.0
130,BBC,0.1326,0.05,0.877,True,0.073
131,BBC,0.7717,0.0,0.645,True,0.355
132,BBC,-0.25,0.155,0.747,True,0.098
133,BBC,0.0,0.0,1.0,False,0.0
134,BBC,0.6808,0.0,0.789,True,0.211
135,BBC,0.0,0.0,1.0,False,0.0
136,BBC,0.7847,0.0,0.743,True,0.257
137,BBC,0.5803,0.0,0.869,True,0.131
138,BBC,0.0,0.0,1.0,False,0.0
139,BBC,0.0,0.0,1.0,False,0.0
140,CBS,0.7088,0.0,0.763,True,0.237
141,CBS,-0.4939,0.157,0.766,True,0.077
142,CBS,0.6514,0.0,0.806,True,0.194
143,CBS,0.6115,0.0,0.734,True,0.266
144,CBS,0.6696,0.0,0.781,True,0.219
145,CBS,0.3612,0.0,0.857,True,0.143
146,CBS,0.539,0.0,0.821,True,0.179
147,CBS,0.2244,0.0,0.917,True,0.083
148,CBS,0.0,0.0,1.0,False,0.0
149,CBS,0.4926,0.0,0.883,True,0.117
150,CBS,0.1275,0.092,0.795,True,0.113
151,CBS,0.4215,0.0,0.823,True,0.177
152,CBS,0.8658,0.0,0.553,True,0.447
153,CBS,0.0,0.0,1.0,False,0.0
154,CBS,0.8625,0.0,0.664,True,0.336
155,CBS,0.4926,0.0,0.868,True,0.132
156,CBS,-0.2023,0.23,0.619,True,0.15
157,CBS,0.0,0.0,1.0,False,0.0
158,CBS,0.6705,0.0,0.756,True,0.244
159,CBS,0.3818,0.0,0.833,True,0.167
160,CBS,0.7088,0.0,0.763,True,0.237
161,CBS,-0.4939,0.157,0.766,True,0.077
162,CBS,0.6514,0.0,0.806,True,0.194
163,CBS,0.6115,0.0,0.734,True,0.266
164,CBS,0.6696,0.0,0.781,True,0.219
165,CBS,0.3612,0.0,0.857,True,0.143
166,CBS,0.539,0.0,0.821,True,0.179
167,CBS,0.2244,0.0,0.917,True,0.083
168,CBS,0.0,0.0,1.0,False,0.0
169,CBS,0.4926,0.0,0.883,True,0.117
170,CBS,0.1275,0.092,0.795,True,0.113
171,CBS,0.4215,0.0,0.823,True,0.177
172,CBS,0.8658,0.0,0.553,True,0.447
173,CBS,0.0,0.0,1.0,False,0.0
174,CBS,0.8625,0.0,0.664,True,0.336
175,CBS,0.4926,0.0,0.868,True,0.132
176,CBS,-0.2023,0.23,0.619,True,0.15
177,CBS,0.0,0.0,1.0,False,0.0
178,CBS,0.6705,0.0,0.756,True,0.244
179,CBS,0.3818,0.0,0.833,True,0.167
180,CBS,0.4404,0.0,0.884,True,0.116
181,CBS,0.0,0.0,1.0,False,0.0
182,CBS,0.7096,0.0,0.753,True,0.247
183,CBS,0.7096,0.0,0.718,True,0.282
184,CBS,0.4939,0.0,0.849,True,0.151
185,CBS,-0.6981,0.21,0.79,True,0.0
186,CBS,0.4547,0.092,0.749,True,0.159
187,CBS,0.8591,0.0,0.462,True,0.538
188,CBS,0.4885,0.151,0.615,True,0.234
189,CBS,0.5994,0.0,0.822,True,0.178
190,CBS,0.7717,0.0,0.675,True,0.325
191,CBS,0.6908,0.0,0.725,True,0.275
192,CBS,0.0,0.0,1.0,False,0.0
193,CBS,0.0,0.0,1.0,False,0.0
194,CBS,0.0,0.0,1.0,False,0.0
195,CBS,0.4404,0.0,0.884,True,0.116
196,CBS,0.5562,0.0,0.848,True,0.152
197,CBS,0.0,0.0,1.0,False,0.0
198,CBS,0.0,0.0,1.0,False,0.0
199,CBS,0.4482,0.0,0.895,True,0.105
200,CBS,0.784,0.0,0.734,True,0.266
201,CBS,0.9359,0.0,0.571,True,0.429
202,CBS,-0.5423,0.184,0.816,True,0.0
203,CBS,0.0,0.0,1.0,False,0.0
204,CBS,0.0,0.0,1.0,False,0.0
205,CBS,0.7644,0.0,0.769,True,0.231
206,CBS,0.0,0.0,1.0,False,0.0
207,CBS,0.0,0.0,1.0,False,0.0
208,CBS,0.5093,0.0,0.845,True,0.155
209,CBS,0.0,0.0,1.0,False,0.0
210,CBS,0.0,0.0,1.0,False,0.0
211,CBS,0.6808,0.0,0.752,True,0.248
212,CBS,0.4404,0.0,0.884,True,0.116
213,CBS,-0.4019,0.119,0.881,True,0.0
214,CBS,0.3612,0.0,0.872,True,0.128
215,CBS,0.6124,0.0,0.773,True,0.227
216,CBS,0.3182,0.0,0.892,True,0.108
217,CBS,0.68,0.0,0.752,True,0.248
218,CBS,0.8619,0.0,0.534,True,0.466
219,CBS,0.0,0.0,1.0,False,0.0
220,CBS,0.7506,0.0,0.748,True,0.252
221,CBS,0.0,0.0,1.0,False,0.0
222,CBS,0.0,0.0,1.0,False,0.0
223,CBS,0.8478,0.0,0.696,True,0.304
224,CBS,-0.5859,0.186,0.814,True,0.0
225,CBS,0.0516,0.0,0.934,True,0.066
226,CBS,0.5574,0.152,0.536,True,0.312
227,CBS,0.0,0.0,1.0,False,0.0
228,CBS,0.0772,0.106,0.773,True,0.121
229,CBS,0.0,0.0,1.0,False,0.0
230,CBS,0.1531,0.0,0.882,True,0.118
231,CBS,0.0,0.0,1.0,False,0.0
232,CBS,0.8268,0.0,0.662,True,0.338
233,CBS,-0.0772,0.075,0.925,True,0.0
234,CBS,0.4019,0.0,0.856,True,0.144
235,CBS,0.4003,0.0,0.876,True,0.124
236,CBS,0.6114,0.0,0.834,True,0.166
237,CBS,0.0,0.0,1.0,False,0.0
238,CBS,0.0,0.0,1.0,False,0.0
239,CBS,0.1139,0.0,0.912,True,0.088
240,CBS,0.1007,0.115,0.75,True,0.135
241,CBS,0.4588,0.0,0.812,True,0.188
242,CBS,0.1779,0.095,0.779,True,0.126
243,CBS,-0.2263,0.252,0.569,True,0.179
244,CBS,-0.4767,0.256,0.744,True,0.0
245,CBS,0.4939,0.119,0.625,True,0.256
246,CBS,0.5093,0.0,0.81,True,0.19
247,CBS,0.8261,0.0,0.566,True,0.434
248,CBS,0.8309,0.0,0.586,True,0.414
249,CBS,0.6588,0.0,0.614,True,0.386
250,CBS,-0.5106,0.398,0.602,True,0.0
251,CBS,0.0,0.0,1.0,False,0.0
252,CBS,0.7525,0.0,0.651,True,0.349
253,CBS,0.0,0.0,1.0,False,0.0
254,CBS,0.8516,0.0,0.42,True,0.58
255,CBS,0.8442,0.0,0.649,True,0.351
256,CBS,0.923,0.0,0.594,True,0.406
257,CBS,0.5994,0.0,0.794,True,0.206
258,CBS,0.8834,0.0,0.593,True,0.407
259,CBS,0.8553,0.0,0.724,True,0.276
260,CBS,0.8553,0.0,0.694,True,0.306
261,CBS,0.9215,0.0,0.609,True,0.391
262,CBS,0.0,0.0,1.0,False,0.0
263,CBS,0.5994,0.0,0.813,True,0.187
264,CBS,0.6908,0.0,0.711,True,0.289
265,CBS,0.0,0.0,1.0,False,0.0
266,CBS,-0.296,0.115,0.885,True,0.0
267,CBS,0.0,0.0,1.0,False,0.0
268,CBS,0.3818,0.0,0.885,True,0.115
269,CBS,0.5093,0.079,0.758,True,0.162
270,CBS,0.0,0.0,1.0,False,0.0
271,CBS,0.7783,0.0,0.714,True,0.286
272,CBS,0.9259,0.0,0.558,True,0.442
273,CBS,0.0,0.0,1.0,False,0.0
274,CBS,0.5106,0.0,0.837,True,0.163
275,CBS,0.1531,0.0,0.914,True,0.086
276,CBS,0.3182,0.123,0.741,True,0.136
277,CBS,0.6597,0.0,0.707,True,0.293
278,CBS,0.0,0.0,1.0,False,0.0
279,CBS,0.0,0.0,1.0,False,0.0
280,CNN,-0.6486,0.249,0.751,True,0.0
281,CNN,0.0,0.0,1.0,False,0.0
282,CNN,0.4404,0.0,0.734,True,0.266
283,CNN,-0.2732,0.116,0.884,True,0.0
284,CNN,-0.0772,0.112,0.747,True,0.141
285,CNN,0.0,0.0,1.0,False,0.0
286,CNN,0.0,0.0,1.0,False,0.0
287,CNN,0.0,0.0,1.0,False,0.0
288,CNN,-0.4767,0.162,0.838,True,0.0
289,CNN,0.4847,0.0,0.817,True,0.183
290,CNN,-0.25,0.146,0.758,True,0.096
291,CNN,0.1531,0.11,0.75,True,0.14
292,CNN,-0.25,0.125,0.875,True,0.0
293,CNN,0.3182,0.0,0.881,True,0.119
294,CNN,0.0,0.0,1.0,False,0.0
295,CNN,-0.2263,0.102,0.837,True,0.06
296,CNN,0.0,0.0,1.0,False,0.0
297,CNN,0.0,0.0,1.0,False,0.0
298,CNN,-0.2732,0.116,0.884,True,0.0
299,CNN,0.0,0.0,1.0,False,0.0
300,CNN,-0.6486,0.249,0.751,True,0.0
301,CNN,0.0,0.0,1.0,False,0.0
302,CNN,0.4404,0.0,0.734,True,0.266
303,CNN,-0.2732,0.116,0.884,True,0.0
304,CNN,-0.0772,0.112,0.747,True,0.141
305,CNN,0.0,0.0,1.0,False,0.0
306,CNN,0.0,0.0,1.0,False,0.0
307,CNN,0.0,0.0,1.0,False,0.0
308,CNN,-0.4767,0.162,0.838,True,0.0
309,CNN,0.4847,0.0,0.817,True,0.183
310,CNN,-0.25,0.146,0.758,True,0.096
311,CNN,0.1531,0.11,0.75,True,0.14
312,CNN,-0.25,0.125,0.875,True,0.0
313,CNN,0.3182,0.0,0.881,True,0.119
314,CNN,0.0,0.0,1.0,False,0.0
315,CNN,-0.2263,0.102,0.837,True,0.06
316,CNN,0.0,0.0,1.0,False,0.0
317,CNN,0.0,0.0,1.0,False,0.0
318,CNN,-0.2732,0.116,0.884,True,0.0
319,CNN,0.0,0.0,1.0,False,0.0
320,CNN,0.0,0.0,1.0,False,0.0
321,CNN,-0.7592,0.329,0.577,True,0.094
322,CNN,0.0,0.0,1.0,False,0.0
323,CNN,-0.2732,0.11,0.89,True,0.0
324,CNN,-0.2263,0.101,0.899,True,0.0
325,CNN,0.015,0.142,0.712,True,0.146
326,CNN,-0.296,0.099,0.901,True,0.0
327,CNN,0.6926,0.039,0.754,True,0.208
328,CNN,-0.4404,0.132,0.868,True,0.0
329,CNN,0.0,0.0,1.0,False,0.0
330,CNN,0.5413,0.0,0.845,True,0.155
331,CNN,0.5598,0.0,0.869,True,0.131
332,CNN,-0.296,0.151,0.755,True,0.094
333,CNN,0.8625,0.0,0.652,True,0.348
334,CNN,0.0,0.0,1.0,False,0.0
335,CNN,0.4404,0.0,0.734,True,0.266
336,CNN,0.1531,0.11,0.759,True,0.131
337,CNN,0.0,0.0,1.0,False,0.0
338,CNN,0.2023,0.0,0.913,True,0.087
339,CNN,-0.6486,0.249,0.751,True,0.0
340,CNN,-0.2263,0.091,0.909,True,0.0
341,CNN,0.0,0.0,1.0,False,0.0
342,CNN,0.5994,0.0,0.786,True,0.214
343,CNN,-0.3628,0.165,0.765,True,0.069
344,CNN,-0.4215,0.297,0.545,True,0.158
345,CNN,-0.25,0.213,0.656,True,0.131
346,CNN,0.0,0.0,1.0,False,0.0
347,CNN,0.0,0.0,1.0,False,0.0
348,CNN,-0.8481,0.38,0.62,True,0.0
349,CNN,0.0,0.0,1.0,False,0.0
350,CNN,0.34,0.0,0.882,True,0.118
351,CNN,0.0,0.0,1.0,False,0.0
352,CNN,0.0,0.0,1.0,False,0.0
353,CNN,0.0,0.0,1.0,False,0.0
354,CNN,0.5574,0.0,0.806,True,0.194
355,CNN,-0.5994,0.157,0.843,True,0.0
356,CNN,0.3182,0.0,0.874,True,0.126
357,CNN,0.0,0.0,1.0,False,0.0
358,CNN,-0.5267,0.152,0.848,True,0.0
359,CNN,0.0,0.0,1.0,False,0.0
360,CNN,0.0,0.0,1.0,False,0.0
361,CNN,-0.6369,0.215,0.785,True,0.0
362,CNN,0.0,0.0,1.0,False,0.0
363,CNN,0.4939,0.0,0.842,True,0.158
364,CNN,-0.2263,0.102,0.837,True,0.06
365,CNN,-0.4215,0.141,0.859,True,0.0
366,CNN,0.0,0.0,1.0,False,0.0
367,CNN,0.4939,0.0,0.802,True,0.198
368,CNN,0.0,0.0,1.0,False,0.0
369,CNN,-0.5267,0.175,0.825,True,0.0
370,CNN,-0.4588,0.176,0.824,True,0.0
371,CNN,0.0,0.0,1.0,False,0.0
372,CNN,-0.6908,0.251,0.749,True,0.0
373,CNN,0.0,0.0,1.0,False,0.0
374,CNN,0.0,0.0,1.0,False,0.0
375,CNN,0.1459,0.139,0.694,True,0.167
376,CNN,-0.7269,0.289,0.711,True,0.0
377,CNN,-0.2732,0.1,0.9,True,0.0
378,CNN,0.0,0.0,1.0,False,0.0
379,CNN,0.0,0.0,1.0,False,0.0
380,CNN,0.0,0.0,1.0,False,0.0
381,CNN,0.5499,0.0,0.818,True,0.182
382,CNN,0.0,0.0,1.0,False,0.0
383,CNN,-0.5719,0.217,0.783,True,0.0
384,CNN,0.296,0.0,0.885,True,0.115
385,CNN,-0.3818,0.206,0.794,True,0.0
386,CNN,0.2023,0.0,0.904,True,0.096
387,CNN,-0.4939,0.167,0.833,True,0.0
388,CNN,0.0,0.0,1.0,False,0.0
389,CNN,0.4939,0.0,0.862,True,0.138
390,CNN,0.128,0.098,0.784,True,0.118
391,CNN,0.0,0.0,1.0,False,0.0
392,CNN,-0.2732,0.116,0.884,True,0.0
393,CNN,-0.25,0.125,0.875,True,0.0
394,CNN,0.0,0.0,1.0,False,0.0
395,CNN,0.128,0.093,0.793,True,0.115
396,CNN,-0.4939,0.151,0.849,True,0.0
397,CNN,-0.7003,0.298,0.702,True,0.0
398,CNN,-0.4939,0.176,0.824,True,0.0
399,CNN,0.0,0.0,1.0,False,0.0
400,CNN,-0.2732,0.13,0.87,True,0.0
401,CNN,0.4847,0.0,0.817,True,0.183
402,CNN,0.0,0.0,1.0,False,0.0
403,CNN,-0.4939,0.167,0.833,True,0.0
404,CNN,-0.8074,0.356,0.644,True,0.0
405,CNN,-0.4939,0.186,0.814,True,0.0
406,CNN,0.0,0.126,0.748,False,0.126
407,CNN,0.6825,0.0,0.797,True,0.203
408,CNN,0.0,0.0,1.0,False,0.0
409,CNN,-0.7506,0.286,0.714,True,0.0
410,CNN,-0.2732,0.1,0.9,True,0.0
411,CNN,-0.4767,0.239,0.67,True,0.091
412,CNN,-0.872,0.398,0.602,True,0.0
413,CNN,0.015,0.142,0.712,True,0.146
414,CNN,-0.2263,0.091,0.909,True,0.0
415,CNN,-0.2732,0.123,0.877,True,0.0
416,CNN,-0.0418,0.11,0.788,True,0.101
417,CNN,0.4019,0.0,0.856,True,0.144
418,CNN,0.4939,0.0,0.819,True,0.181
419,CNN,0.0,0.0,1.0,False,0.0
420,Fox News,-0.7783,0.298,0.702,True,0.0
421,Fox News,0.0,0.0,1.0,False,0.0
422,Fox News,-0.2023,0.133,0.783,True,0.084
423,Fox News,-0.1531,0.167,0.699,True,0.134
424,Fox News,-0.6705,0.31,0.69,True,0.0
425,Fox News,-0.1027,0.199,0.682,True,0.119
426,Fox News,-0.5267,0.216,0.784,True,0.0
427,Fox News,-0.2732,0.123,0.877,True,0.0
428,Fox News,-0.25,0.167,0.714,True,0.119
429,Fox News,0.0,0.0,1.0,False,0.0
430,Fox News,-0.5423,0.273,0.727,True,0.0
431,Fox News,-0.25,0.167,0.833,True,0.0
432,Fox News,-0.2263,0.174,0.71,True,0.116
433,Fox News,0.0,0.0,1.0,False,0.0
434,Fox News,0.0258,0.0,0.939,True,0.061
435,Fox News,-0.3182,0.204,0.796,True,0.0
436,Fox News,0.1531,0.126,0.714,True,0.159
437,Fox News,-0.8555,0.356,0.644,True,0.0
438,Fox News,0.0,0.0,1.0,False,0.0
439,Fox News,-0.4588,0.182,0.818,True,0.0
440,Fox News,-0.7783,0.298,0.702,True,0.0
441,Fox News,0.0,0.0,1.0,False,0.0
442,Fox News,-0.2023,0.133,0.783,True,0.084
443,Fox News,-0.1531,0.167,0.699,True,0.134
444,Fox News,-0.6705,0.31,0.69,True,0.0
445,Fox News,-0.1027,0.199,0.682,True,0.119
446,Fox News,-0.5267,0.216,0.784,True,0.0
447,Fox News,-0.2732,0.123,0.877,True,0.0
448,Fox News,-0.25,0.167,0.714,True,0.119
449,Fox News,0.0,0.0,1.0,False,0.0
450,Fox News,-0.5423,0.273,0.727,True,0.0
451,Fox News,-0.25,0.167,0.833,True,0.0
452,Fox News,-0.2263,0.174,0.71,True,0.116
453,Fox News,0.0,0.0,1.0,False,0.0
454,Fox News,0.0258,0.0,0.939,True,0.061
455,Fox News,-0.3182,0.204,0.796,True,0.0
456,Fox News,0.1531,0.126,0.714,True,0.159
457,Fox News,-0.8555,0.356,0.644,True,0.0
458,Fox News,0.0,0.0,1.0,False,0.0
459,Fox News,-0.4588,0.182,0.818,True,0.0
460,Fox News,0.0,0.0,1.0,False,0.0
461,Fox News,-0.802,0.419,0.581,True,0.0
462,Fox News,0.0,0.0,1.0,False,0.0
463,Fox News,0.0,0.0,1.0,False,0.0
464,Fox News,0.0,0.0,1.0,False,0.0
465,Fox News,-0.5994,0.279,0.611,True,0.109
466,Fox News,0.0,0.0,1.0,False,0.0
467,Fox News,-0.34,0.138,0.862,True,0.0
468,Fox News,0.6597,0.0,0.769,True,0.231
469,Fox News,0.4019,0.0,0.863,True,0.137
470,Fox News,0.296,0.0,0.833,True,0.167
471,Fox News,-0.5267,0.216,0.784,True,0.0
472,Fox News,0.0,0.0,1.0,False,0.0
473,Fox News,0.0,0.0,1.0,False,0.0
474,Fox News,0.0,0.0,1.0,False,0.0
475,Fox News,0.0772,0.0,0.939,True,0.061
476,Fox News,-0.743,0.448,0.552,True,0.0
477,Fox News,-0.296,0.155,0.845,True,0.0
478,Fox News,-0.4854,0.192,0.738,True,0.07
479,Fox News,-0.3412,0.107,0.893,True,0.0
